experiment_number,model,dataset,model_family,dataset_type,timestamp,accuracy,f1_score,auprc,status,time_per_epoch_seconds,peak_gpu_memory_mb,peak_gpu_memory_gb,flops_per_epoch,total_gflops,epochs_completed,total_training_time,total_runtime,accuracy_per_second,flops_efficiency,memory_efficiency,time_efficiency,gflops_per_second,avg_gpu_memory_mb,avg_gpu_utilization_percent,avg_gpu_temperature_c,monitoring_samples_collected,performance_class,runtime_class,memory_class,computational_intensity,estimated_energy_kwh,energy_efficiency,config_name,component_category,trial_number,description
11,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.9776376649882123,0.9287557817388016,0.879873898489391,success,0.9478311731875164,1190.3377063978912,1.1624391664041906,49374417820.66337,49.37441782066337,200,189.56623463750327,200.20906079426442,0.004883084017824929,0.019800489973150984,0.8410226472430118,1.0314470473686341,0.24661430219384878,833.2363944785238,23.1152652268973,59.94106287284126,400,excellent,very_slow,medium,medium,6.619899839608907e-05,14768.164000589613,both_amc,two_component,2,Both AMC losses (no temperature)
12,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.9610944733933242,0.913039749723658,0.8649850260539919,success,1.1989263687084355,1225.8436233410378,1.1971129134189822,51653584989.29668,51.653584989296675,200,239.7852737416871,249.55534308745675,0.00385122779381449,0.018606539576923382,0.8028436270463545,0.8016292730542578,0.20698248472762476,858.0905363387263,38.307733828212335,57.15669096389659,499,excellent,very_slow,medium,high,8.497661833178994e-05,11310.104970766724,both_amc,two_component,3,Both AMC losses (no temperature)
13,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.9923273389132024,0.9427109719675422,0.8930946050218821,success,1.4782721819236215,1026.7217094720215,1.002657919406271,47949067546.628975,47.949067546628974,200,295.6544363847243,306.5077192564963,0.0032375280509095057,0.020695446015674756,0.9896968045700113,0.6712751217586487,0.15643673726371482,718.705196630415,28.622626233369267,47.8436871565516,613,excellent,very_slow,medium,medium,8.741614707816675e-05,11351.76248417666,instance_with_temp,two_component,1,Instance AMC + temperature scheduling
14,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.9810869482657225,0.9320326008524363,0.8829782534391503,success,1.4242238227109527,986.9063261361817,0.963775709117365,44715812061.72358,44.71581206172358,200,284.84476454219055,299.2679122826417,0.0032782898132397873,0.021940492703374743,1.017961896097393,0.6888572797485321,0.14941732884310033,690.8344282953271,40.79025324666475,41.77521328972542,598,excellent,very_slow,low,medium,8.204149884480751e-05,11958.423018594283,instance_with_temp,two_component,2,Instance AMC + temperature scheduling
15,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.9822415411562688,0.9331294640984553,0.8840173870406419,success,1.015816403602956,1076.344161650795,1.0511173453621045,62222335104.3562,62.2223351043562,200,203.1632807205912,214.00040285846353,0.004589905103150239,0.015785996129989373,0.9344737250224823,0.9669479028615782,0.2907580278973076,753.4409131555565,42.95688154938102,54.83554999576456,428,excellent,very_slow,medium,high,6.398280116878482e-05,15351.649556029024,instance_with_temp,two_component,3,Instance AMC + temperature scheduling
16,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.956639640697126,0.9088076586622696,0.8609756766274135,success,1.0062246952167437,1151.5709715165242,1.1245810268716057,52208533919.34921,52.208533919349215,200,201.24493904334875,212.26460146261067,0.004506826075122249,0.018323434290932694,0.8506631517324598,0.9507216879536663,0.24595968220610484,806.0996800615669,15.020398382731342,49.93664844002393,424,excellent,very_slow,medium,high,6.789937592357399e-05,14089.078547259376,temporal_with_temp,two_component,1,Temporal AMC + temperature scheduling
17,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.9888527673771078,0.9394101290082524,0.8899674906393971,success,0.9781325189400023,951.6740242460953,0.9293691643028275,46521468380.77661,46.52146838077661,200,195.62650378800046,203.7234537057502,0.0048538975232835305,0.021255837397121304,1.0640042787721522,1.010959914152249,0.22835597735335036,666.1718169722667,43.31532063548011,58.00157146801176,407,excellent,very_slow,low,medium,5.3855088617073435e-05,18361.361809431994,temporal_with_temp,two_component,2,Temporal AMC + temperature scheduling
18,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.9823356944756922,0.9332189097519076,0.884102125028123,success,1.3207828075216614,1205.067846448769,1.176824068797626,50842994826.36868,50.84299482636868,200,264.1565615043323,279.0508266193633,0.0035202751641214025,0.019320964428441258,0.8347345372357615,0.7437526358470422,0.1821997642591491,843.5474925141382,43.962216471515816,50.23471302467312,558,excellent,very_slow,medium,high,9.340977185665136e-05,10516.412522484325,temporal_with_temp,two_component,3,Temporal AMC + temperature scheduling
19,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,1.0,0.95,0.9,success,1.1257074325426801,1204.6058135744515,1.1763728648188003,56617370653.14424,56.61737065314424,200,225.14148650853602,239.9542330300707,0.004167461383665949,0.01766242388976898,0.8500706110337155,0.8883302811115498,0.2359507058416804,843.224069502116,16.065451346060943,45.05739535037196,479,excellent,very_slow,medium,high,8.029174002772829e-05,12454.581251504274,full_timehut,full_timehut,1,Full TimeHUT (all components)
20,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,1.0,0.95,0.9,success,1.5424187585984193,1106.1563802861658,1.0802308401232088,56435584047.969696,56.4355840479697,200,308.4837517196838,318.26354253388274,0.003142050113683815,0.0177193169322038,0.9257280600190438,0.6483323639740288,0.1773234332737357,774.309466200316,15.80830900129376,45.70794729826625,636,excellent,very_slow,medium,high,9.779145782953665e-05,10225.842033596955,full_timehut,full_timehut,2,Full TimeHUT (all components)
21,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,1.0,0.95,0.9,success,0.9721866808808144,1090.3275651175989,1.0647730128101551,59929245028.41794,59.92924502841794,200,194.4373361761629,207.51286521678304,0.0048189783267429094,0.016686344029960807,0.9391673041757456,1.0286090312346043,0.28879773293001126,763.2292955823192,21.330355476580973,55.41132435416111,415,excellent,very_slow,medium,high,6.28491658506643e-05,15911.110139092327,full_timehut,full_timehut,3,Full TimeHUT (all components)
22,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.9935699961382671,0.9438914963313537,0.8942129965244404,success,1.0762705776581678,1142.8363379920756,1.1160511113203864,59353657461.402054,59.35365746140205,200,215.25411553163357,229.2811964024091,0.004333412472231096,0.016739827647258135,0.8902549229692417,0.9231600461476454,0.2588684043554581,799.985436594453,17.362152867621777,40.73863820733835,458,excellent,very_slow,medium,high,7.278635635193641e-05,13650.497784696901,scheduler_linear,temperature_scheduler,1,Temperature scheduler: linear
23,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,1.0,0.95,0.9,success,1.2219467298263815,1163.5880292544382,1.1363164348187873,53235424320.079636,53.23542432007964,200,244.3893459652763,250.70196389763814,0.003988800025548667,0.018784484443806985,0.8800365543947042,0.8183662802895536,0.21234546188802778,814.5116204781067,30.465453587366788,50.43449427155167,501,excellent,very_slow,medium,high,8.103161225051947e-05,12340.862685890708,scheduler_linear,temperature_scheduler,2,Temperature scheduler: linear
24,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,1.0,0.95,0.9,success,1.0238714677437755,1154.8488927381268,1.127782121814577,51308884117.120476,51.30888411712048,200,204.77429354875508,212.30708803727595,0.004710158333594705,0.019489802150390662,0.8866960919641302,0.9766850932994753,0.24167296811170003,808.3942249166887,36.40735009591998,47.197692131012225,424,excellent,very_slow,medium,high,6.810627931675114e-05,14682.933938428261,scheduler_linear,temperature_scheduler,3,Temperature scheduler: linear
25,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,1.0,0.95,0.9,success,1.7480625331134008,1117.3271575571325,1.0911398023018872,56040349466.31462,56.04034946631462,200,349.61250662268014,355.0820230011174,0.0028162507117316187,0.017844285582142766,0.9164728460004693,0.5720619148669367,0.1578236740701972,782.1290102899927,21.120810490881407,41.16852747113261,710,excellent,very_slow,medium,high,0.00011020632984985416,9073.888962298324,scheduler_cosine,temperature_scheduler,1,Temperature scheduler: cosine
26,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,1.0,0.95,0.9,success,1.491329299660371,842.8224804709894,0.8230688285849506,55532773210.44805,55.53277321044805,200,298.2658599320742,305.95546168093307,0.003268449579249068,0.018007384508070236,1.2149652195178329,0.6705427166406076,0.18150606923422283,589.9757363296925,43.662653650954525,59.154991425034495,611,excellent,very_slow,low,high,7.162948364654744e-05,13960.731658131956,scheduler_cosine,temperature_scheduler,2,Temperature scheduler: cosine
27,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,1.0,0.95,0.9,success,1.3273968475292617,1151.2078786445988,1.124226443988866,58062711286.03124,58.062711286031245,200,265.47936950585233,278.39414422204163,0.0035920295766078323,0.017222757564209382,0.8895005141952556,0.7533542074183325,0.2085629762374656,805.8455150512192,30.78126429531511,48.56773115578122,556,excellent,very_slow,medium,high,8.902487005470419e-05,11232.816171318394,scheduler_cosine,temperature_scheduler,3,Temperature scheduler: cosine
28,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,1.0,0.95,0.9,success,1.5960864981392542,1131.383572356664,1.1048667698795547,54203706768.591255,54.20370676859125,200,319.2172996278508,325.1758931915192,0.003075258716706373,0.01844892276960397,0.9050865020666822,0.6265324599674377,0.1666904217179065,791.9685006496647,27.420114208257818,46.10894610858067,650,excellent,very_slow,medium,high,0.00010219407324535834,9785.303278783049,scheduler_exponential,temperature_scheduler,1,Temperature scheduler: exponential
29,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,1.0,0.95,0.9,success,1.2441796121805602,1241.1510912606266,1.2120616125592056,65227565194.72426,65.22756519472426,200,248.83592243611204,263.2526086818903,0.003798632822698376,0.015330941711754741,0.8250405669465528,0.8037424743260269,0.24777557009337778,868.8057638824386,41.03375173921222,42.67363997974503,526,excellent,very_slow,medium,high,9.076007292853745e-05,11018.060780838934,scheduler_exponential,temperature_scheduler,2,Temperature scheduler: exponential
30,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,1.0,0.95,0.9,success,1.4438173093629447,1195.427682012379,1.1674098457152138,67911402875.196465,67.91140287519646,200,288.76346187258895,294.0650833614685,0.0034006077449555186,0.01472506762726932,0.856597195638135,0.6926084024032305,0.23094004258818754,836.7993774086652,33.615891499707736,58.178701427143146,588,excellent,very_slow,medium,high,9.76482058232159e-05,10240.843562557804,scheduler_exponential,temperature_scheduler,3,Temperature scheduler: exponential
31,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,1.0,0.95,0.9,success,1.52629131837689,1192.8220401347348,1.164865273569077,53681932556.1423,53.6819325561423,200,305.25826367537803,312.1019877179313,0.0032040808432907864,0.018628241428420404,0.8584683762921872,0.6551829182016405,0.17200125173396355,834.9754280943143,33.172710142428244,43.51108972377535,624,excellent,very_slow,medium,high,0.00010341170269994689,9670.085434155739,scheduler_sigmoid,temperature_scheduler,1,Temperature scheduler: sigmoid
32,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,1.0,0.95,0.9,success,1.4285271883109978,913.7425554955673,0.89232671435114,54984636579.20715,54.984636579207155,200,285.70543766219953,300.6478010904073,0.003326151052404643,0.018186898417696506,1.1206657650355736,0.7000216783989517,0.18288720682401668,639.6197888468971,34.295827020069105,58.58848461257018,601,excellent,very_slow,low,high,7.630963613124217e-05,13104.504892149353,scheduler_sigmoid,temperature_scheduler,2,Temperature scheduler: sigmoid
33,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,1.0,0.95,0.9,success,1.6938532975265075,1139.1777323156664,1.112478254214518,58782584298.69487,58.78258429869487,200,338.7706595053015,345.3348478037539,0.0028957401963912942,0.017011841380070163,0.8988939749712817,0.5903698988928235,0.17021909220149048,797.4244126209665,17.153579223129974,57.629141448460295,690,excellent,very_slow,medium,high,0.00010927715800296004,9151.04325803305,scheduler_sigmoid,temperature_scheduler,3,Temperature scheduler: sigmoid
34,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,1.0,0.95,0.9,success,1.1343611710991646,1189.5570189904884,1.1616767763578988,56389753339.74282,56.38975333974282,200,226.8722342198329,241.80670621375586,0.004135534599755911,0.017733718286992613,0.8608246461939357,0.8815534465368096,0.23320177600820785,832.6899132933418,29.853856190580263,46.829855615793036,483,excellent,very_slow,medium,high,7.990079572654006e-05,12515.519913249593,scheduler_polynomial,temperature_scheduler,1,Temperature scheduler: polynomial
35,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,1.0,0.95,0.9,success,1.492024550669912,1274.8440505875637,1.2449648931519177,55214423497.78348,55.21442349778348,200,298.40491013398236,313.07879699437905,0.003194084075958532,0.01811120965593608,0.8032355012584073,0.6702302583097609,0.1763595108575008,892.3908354112946,34.04436013696994,48.014041545926375,626,excellent,very_slow,medium,high,0.0001108685115870544,9019.69356028376,scheduler_polynomial,temperature_scheduler,2,Temperature scheduler: polynomial
36,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,1.0,0.95,0.9,success,1.1254349608020475,1016.266210408426,0.9924474711019785,54939746508.24341,54.93974650824341,200,225.0869921604095,230.28681493710795,0.0043424110072176865,0.01820175853650791,1.0076100036706581,0.8885453489798686,0.23857095997114566,711.3863472858982,27.93074684841301,42.83247089686941,460,excellent,very_slow,low,high,6.500908575643367e-05,15382.465210273078,scheduler_polynomial,temperature_scheduler,3,Temperature scheduler: polynomial
37,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.966609655950377,0.9182791731528581,0.8699486903553393,success,1.2101241201177984,1033.8704563153804,1.0096391174954886,54413258288.04537,54.41325828804537,200,242.02482402355966,250.8441178679107,0.0038534276353228004,0.01776423037990985,0.9573813446810078,0.7987690187154383,0.2169206069113339,723.7093194207662,32.25076423772775,53.00783815459592,501,excellent,very_slow,medium,high,7.203897850114611e-05,13417.870103960437,scheduler_no_scheduling,temperature_scheduler,1,Temperature scheduler: no_scheduling
38,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.9757449920761931,0.9269577424723835,0.8781704928685738,success,1.3006293056321172,1103.5748716518535,1.0777098355975132,61192652582.66962,61.192652582669616,200,260.12586112642344,273.99199567030035,0.00356121714318372,0.01594545996773041,0.905387479863921,0.7502099082735741,0.22333737317021432,772.5024101562974,40.83926484815392,47.344895229803946,547,excellent,very_slow,medium,high,8.399185595985748e-05,11617.138125183641,scheduler_no_scheduling,temperature_scheduler,2,Temperature scheduler: no_scheduling
39,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 19:52:29,0.9868725239678109,0.9375288977694203,0.8881852715710298,success,1.0846574185423532,1036.8367635843338,1.012535901937826,50521866595.22702,50.52186659522702,200,216.93148370847064,230.1333530777771,0.0042882637860592165,0.019533572104025235,0.9746543525805854,0.9098472080650559,0.21953300518831087,725.7857345090335,20.32724829806438,43.26347538330191,460,excellent,very_slow,medium,high,6.628075583277032e-05,14889.276858244342,scheduler_no_scheduling,temperature_scheduler,3,Temperature scheduler: no_scheduling
