experiment_number,model,dataset,model_family,dataset_type,timestamp,accuracy,f1_score,auprc,status,time_per_epoch_seconds,peak_gpu_memory_mb,peak_gpu_memory_gb,flops_per_epoch,total_gflops,epochs_completed,total_training_time,total_runtime,accuracy_per_second,flops_efficiency,memory_efficiency,time_efficiency,gflops_per_second,avg_gpu_memory_mb,avg_gpu_utilization_percent,avg_gpu_temperature_c,monitoring_samples_collected,performance_class,runtime_class,memory_class,computational_intensity,estimated_energy_kwh,energy_efficiency,config_name,component_category,trial_number,description
17,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0002905750274658203,200,0.1953125,24075922257.336308,24.07592225733631,25,0.007264375686645508,0.014528751373291016,0.0,0.0,0.0,0.0,1657.1226004731811,140.0,6.876969718435451,53.17322379808439,0,very_poor,very_fast,low,low,1.6143057081434464e-09,0.0,temporal_with_temp,two_component,2,Temporal AMC + temperature scheduling
18,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0002636575698852539,200,0.1953125,36190781945.62932,36.19078194562932,25,0.006591439247131347,0.013182878494262695,0.0,0.0,0.0,0.0,2745.28677188217,140.0,6.527359198408632,55.68202897380533,0,very_poor,very_fast,low,medium,1.4647642771402996e-09,0.0,temporal_with_temp,two_component,3,Temporal AMC + temperature scheduling
19,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.00024195194244384767,200,0.1953125,34984241762.15129,34.98424176215129,25,0.006048798561096191,0.012097597122192383,0.0,0.0,0.0,0.0,2891.8339244389786,140.0,15.838103111011197,54.12731169540415,0,very_poor,very_fast,low,medium,1.344177458021376e-09,0.0,full_timehut,full_timehut,1,Full TimeHUT (all components)
20,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.00023449420928955077,200,0.1953125,35420755792.855736,35.420755792855736,25,0.0058623552322387695,0.011724710464477539,0.0,0.0,0.0,0.0,3021.034583341765,140.0,12.714539118882797,45.881674315374696,0,very_poor,very_fast,low,medium,1.302745607164171e-09,0.0,full_timehut,full_timehut,2,Full TimeHUT (all components)
21,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0002352619171142578,200,0.1953125,24318666492.25676,24.31866649225676,25,0.005881547927856445,0.01176309585571289,0.0,0.0,0.0,0.0,2067.3695760496676,140.0,16.917116565658418,60.453720332757285,0,very_poor,very_fast,low,low,1.3070106506347656e-09,0.0,full_timehut,full_timehut,3,Full TimeHUT (all components)
22,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.00024593353271484375,200,0.1953125,29276781663.749256,29.276781663749254,25,0.006148338317871094,0.012296676635742188,0.0,0.0,0.0,0.0,2380.869443915584,140.0,7.952431974932354,61.780587557800985,0,very_poor,very_fast,low,medium,1.3662974039713542e-09,0.0,scheduler_linear,temperature_scheduler,1,Temperature scheduler: linear
23,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0002718830108642578,200,0.1953125,27052284704.36902,27.05228470436902,25,0.0067970752716064444,0.01359415054321289,0.0,0.0,0.0,0.0,1989.9944919968043,140.0,5.530217741328917,52.196598541605816,0,very_poor,very_fast,low,medium,1.510461171468099e-09,0.0,scheduler_linear,temperature_scheduler,2,Temperature scheduler: linear
24,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0002758312225341797,200,0.1953125,24947546580.584705,24.947546580584707,25,0.006895780563354492,0.013791561126708984,0.0,0.0,0.0,0.0,1808.8993951722289,140.0,18.876919070014445,45.42679590836313,0,very_poor,very_fast,low,low,1.5323956807454428e-09,0.0,scheduler_linear,temperature_scheduler,3,Temperature scheduler: linear
25,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0002337646484375,200,0.1953125,29347546541.74557,29.347546541745572,25,0.0058441162109375,0.011688232421875,0.0,0.0,0.0,0.0,2510.8626764488745,140.0,11.289554777563389,55.9146415698805,0,very_poor,very_fast,low,medium,1.2986924913194446e-09,0.0,scheduler_cosine,temperature_scheduler,1,Temperature scheduler: cosine
26,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.00023856639862060547,200,0.1953125,21881939342.503304,21.881939342503305,25,0.005964159965515137,0.011928319931030273,0.0,0.0,0.0,0.0,1834.452753533189,140.0,13.543131203304364,46.13683455199875,0,very_poor,very_fast,low,low,1.3253688812255863e-09,0.0,scheduler_cosine,temperature_scheduler,2,Temperature scheduler: cosine
27,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.00026834964752197265,200,0.1953125,32352973083.143677,32.352973083143674,25,0.006708741188049316,0.013417482376098633,0.0,0.0,0.0,0.0,2411.2551204670085,140.0,17.558882871338454,47.43171576552064,0,very_poor,very_fast,low,medium,1.4908313751220703e-09,0.0,scheduler_cosine,temperature_scheduler,3,Temperature scheduler: cosine
28,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.00024917125701904295,200,0.1953125,30437522091.955936,30.437522091955937,25,0.006229281425476073,0.012458562850952148,0.0,0.0,0.0,0.0,2443.1005771769046,140.0,13.053908535713513,61.58062633430886,0,very_poor,very_fast,low,medium,1.3842847612169053e-09,0.0,scheduler_exponential,temperature_scheduler,1,Temperature scheduler: exponential
29,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.000295720100402832,200,0.1953125,31015167840.984177,31.015167840984176,25,0.0073930025100708,0.014786005020141602,0.0,0.0,0.0,0.0,2097.6029562234758,140.0,7.248018979820572,59.681265442708494,0,very_poor,very_fast,low,medium,1.6428894466824004e-09,0.0,scheduler_exponential,temperature_scheduler,2,Temperature scheduler: exponential
30,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.00025017738342285155,200,0.1953125,39516371616.19235,39.51637161619235,25,0.006254434585571289,0.012508869171142578,0.0,0.0,0.0,0.0,3159.0682639286783,140.0,10.602450405956606,46.33409222025976,0,very_poor,very_fast,low,medium,1.3898743523491754e-09,0.0,scheduler_exponential,temperature_scheduler,3,Temperature scheduler: exponential
31,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0002621603012084961,200,0.1953125,26362274019.884342,26.362274019884342,25,0.006554007530212402,0.013108015060424805,0.0,0.0,0.0,0.0,2011.1568302569522,140.0,13.091913494785405,48.715086970127956,0,very_poor,very_fast,low,medium,1.4564461178249784e-09,0.0,scheduler_sigmoid,temperature_scheduler,1,Temperature scheduler: sigmoid
32,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0003129720687866211,200,0.1953125,26600579664.95819,26.60057966495819,25,0.007824301719665527,0.015648603439331055,0.0,0.0,0.0,0.0,1699.869241883946,140.0,9.14368454790311,64.42820434139377,0,very_poor,very_fast,low,medium,1.7387337154812284e-09,0.0,scheduler_sigmoid,temperature_scheduler,2,Temperature scheduler: sigmoid
33,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0003483915328979492,200,0.1953125,29597495720.99995,29.59749572099995,25,0.00870978832244873,0.01741957664489746,0.0,0.0,0.0,0.0,1699.093859991692,140.0,5.125187603166305,51.7128160841624,0,very_poor,very_fast,low,medium,1.9355085160997178e-09,0.0,scheduler_sigmoid,temperature_scheduler,3,Temperature scheduler: sigmoid
34,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.00024845600128173826,200,0.1953125,35695413622.85942,35.69541362285942,25,0.006211400032043456,0.012422800064086914,0.0,0.0,0.0,0.0,2873.379064197558,140.0,18.396080843433644,54.44562554761539,0,very_poor,very_fast,low,medium,1.3803111182318795e-09,0.0,scheduler_polynomial,temperature_scheduler,1,Temperature scheduler: polynomial
35,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown,unknown,unknown,unknown,0.0,0.0,scheduler_polynomial,temperature_scheduler,2,Temperature scheduler: polynomial
36,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.00027272224426269534,200,0.1953125,28213078932.75913,28.213078932759128,25,0.006818056106567384,0.013636112213134766,0.0,0.0,0.0,0.0,2068.9972692937604,140.0,13.612899121219282,63.674949142661745,0,very_poor,very_fast,low,medium,1.5151235792371964e-09,0.0,scheduler_polynomial,temperature_scheduler,3,Temperature scheduler: polynomial
37,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.00027401447296142577,200,0.1953125,29207438692.731712,29.207438692731714,25,0.0068503618240356445,0.013700723648071289,0.0,0.0,0.0,0.0,2131.8172268107437,140.0,17.197556376852113,47.945624378377886,0,very_poor,very_fast,low,medium,1.5223026275634768e-09,0.0,scheduler_no_scheduling,temperature_scheduler,1,Temperature scheduler: no_scheduling
38,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.00024089813232421874,200,0.1953125,24140286337.69419,24.140286337694192,25,0.006022453308105469,0.012044906616210938,0.0,0.0,0.0,0.0,2004.1904106756947,140.0,7.809680404524077,49.05028908406361,0,very_poor,very_fast,low,low,1.3383229573567708e-09,0.0,scheduler_no_scheduling,temperature_scheduler,2,Temperature scheduler: no_scheduling
39,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:48:27,0.0,0.0,0.0,success,0.0002481985092163086,200,0.1953125,21572258595.63408,21.57225859563408,25,0.006204962730407715,0.01240992546081543,0.0,0.0,0.0,0.0,1738.3068628211254,140.0,18.136967270079737,50.56635962181034,0,very_poor,very_fast,low,low,1.3788806067572702e-09,0.0,scheduler_no_scheduling,temperature_scheduler,3,Temperature scheduler: no_scheduling
